,latin_name,english_name,edibility,filename,mushroomworld_url,image_url
0,Agaricus arvensis,Horse Mushroom,Edible and good,Agaricusarvensis1.JPG,http://www.mushroom.world/show?n=Agaricus-arvensis,http://www.mushroom.world/data/fungi/Agaricusarvensis1.JPG
1,Agaricus arvensis,Horse Mushroom,Edible and good,Agaricusarvensis2.JPG,http://www.mushroom.world/show?n=Agaricus-arvensis,http://www.mushroom.world/data/fungi/Agaricusarvensis2.JPG
2,Agaricus arvensis,Horse Mushroom,Edible and good,Agaricusarvensis3.JPG,http://www.mushroom.world/show?n=Agaricus-arvensis,http://www.mushroom.world/data/fungi/Agaricusarvensis3.JPG
3,Agaricus arvensis,Horse Mushroom,Edible and good,Agaricusarvensis4.JPG,http://www.mushroom.world/show?n=Agaricus-arvensis,http://www.mushroom.world/data/fungi/Agaricusarvensis4.JPG
4,Agaricus arvensis,Horse Mushroom,Edible and good,Agaricusarvensis5.JPG,http://www.mushroom.world/show?n=Agaricus-arvensis,http://www.mushroom.world/data/fungi/Agaricusarvensis5.JPG
0,Agaricus augustus,The Prince,Edible and good,Agaricusaugustus1.jpg,http://www.mushroom.world/show?n=Agaricus-augustus,http://www.mushroom.world/data/fungi/Agaricusaugustus1.jpg
1,Agaricus augustus,The Prince,Edible and good,Agaricusaugustus2.jpg,http://www.mushroom.world/show?n=Agaricus-augustus,http://www.mushroom.world/data/fungi/Agaricusaugustus2.jpg
2,Agaricus augustus,The Prince,Edible and good,Agaricusaugustus3.jpg,http://www.mushroom.world/show?n=Agaricus-augustus,http://www.mushroom.world/data/fungi/Agaricusaugustus3.jpg
3,Agaricus augustus,The Prince,Edible and good,Agaricusaugustus4.jpg,http://www.mushroom.world/show?n=Agaricus-augustus,http://www.mushroom.world/data/fungi/Agaricusaugustus4.jpg
0,"Albatrellus confluens
        

",N/A,Inedible,Albatrellusconfluens1.JPG,http://www.mushroom.world/show?n=Albatrellus-confluens,http://www.mushroom.world/data/fungi/Albatrellusconfluens1.JPG
1,"Albatrellus confluens
        

",N/A,Inedible,Albatrellusconfluens2.JPG,http://www.mushroom.world/show?n=Albatrellus-confluens,http://www.mushroom.world/data/fungi/Albatrellusconfluens2.JPG
2,"Albatrellus confluens
        

",N/A,Inedible,Albatrellusconfluens3.JPG,http://www.mushroom.world/show?n=Albatrellus-confluens,http://www.mushroom.world/data/fungi/Albatrellusconfluens3.JPG
0,Albatrellus ovinus,Sheep Polypore,Edible,Albatrellusovinus1.JPG,http://www.mushroom.world/show?n=Albatrellus-ovinus,http://www.mushroom.world/data/fungi/Albatrellusovinus1.JPG
